Rk,Player,Nation,Pos,Squad,Comp,Born,MP,Starts,Min,90s,Gls,Ast,G+A,PK,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Ast,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Cmp_P,Att_P,SCA,SCA90,GCA,Err,Tkl,TklW,Blocks,Int,Tkl+Int,Clr
298,Lucas Bergvall,se SWE,MF,Tottenham,eng Premier League,2006,20,8,844,9.4,0,0,0,0,3,0,0.5,0.5,0.4,0.8,19,38,18,0,670,27,143,371,167,494,553,13,1.38,2,2,30,16,15,16,46,17
299,Medon Berisha,al ALB,MF,Lecce,it Serie A,2003,9,4,360,4,0,1,1,0,2,0,0.3,0.3,0.4,0.7,7,21,11,0.25,257,6,38,153,69,172,212,16,4,2,0,5,3,2,4,9,3
300,Mergim Berisha,de GER,"FW,MF",Hoffenheim,de Bundesliga,1998,11,3,333,3.7,1,1,2,0,1,0,1,1,1,2,2,7,18,0.27,93,5,11,35,47,39,56,5,1.35,1,0,3,3,2,0,3,3
301,Adrian Bernabe,es ESP,MF,Parma,it Serie A,2001,14,14,1066,11.8,0,0,0,0,1,0,0.7,0.7,1,1.7,28,84,7,0,853,36,217,469,180,613,732,43,3.63,3,1,27,17,19,6,33,20
302,Marc Bernal,es ESP,MF,Barcelona,es La Liga,2007,3,3,242,2.7,0,0,0,0,2,0,0.1,0.1,0,0.1,0,8,2,0,184,4,47,116,21,148,160,1,0.37,0,0,8,6,5,1,9,4
303,Bernardo,br BRA,DF,Bochum,de Bundesliga,1995,14,12,1152,12.8,0,0,0,0,4,0,0.6,0.6,0.7,1.3,12,70,7,0,794,71,365,379,53,472,620,17,1.33,0,1,37,21,27,16,53,61
304,Juan Bernat,es ESP,"DF,MF",Villarreal,es La Liga,1993,10,1,212,2.4,0,1,1,0,0,0,0.3,0.3,0.4,0.7,4,8,23,0.42,160,10,42,63,56,101,130,8,3.4,1,0,9,7,3,1,10,4
305,Juan Bernat,es ESP,MF,Getafe,es La Liga,1993,4,4,272,3,0,0,0,0,0,0,0,0,0.1,0.1,1,3,9,0,94,4,21,38,36,36,57,2,0.66,0,0,6,4,2,1,7,6
306,Maxime Bernauer,fr FRA,DF,Saint-Étienne,fr Ligue 1,1998,2,0,44,0.5,0,0,0,0,2,0,0,0,0,0,0,1,0,0,35,0,7,24,5,28,33,1,2.05,0,0,0,0,0,1,1,0
307,Antoine Bernede,fr FRA,"MF,FW",Hellas Verona,it Serie A,1999,4,1,122,1.4,1,0,1,0,0,0,0.7,0.7,0,0.8,2,3,5,0,51,3,6,30,15,27,38,5,3.69,1,0,1,1,3,2,3,1
308,Alexander Bernhardsson,se SWE,"MF,DF",Holstein Kiel,de Bundesliga,1998,9,7,546,6.1,2,1,3,0,2,0,1.3,1.3,0.6,1.9,6,13,29,0.16,233,7,52,114,76,95,154,15,2.47,2,0,15,9,7,0,15,11
309,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,eng Premier League,2002,24,24,2113,23.5,0,1,1,0,1,0,0.3,0.3,1.3,1.7,34,64,62,0.04,1472,107,542,654,285,948,1213,38,1.62,3,3,79,45,32,35,114,69
310,Matúš Bero,sk SVK,MF,Bochum,de Bundesliga,1995,21,20,1821,20.2,3,2,5,0,8,0,2,2,2.8,4.7,21,94,64,0.1,1125,44,183,537,424,623,905,88,4.35,5,1,46,22,29,12,58,25
311,Juan Berrocal,es ESP,DF,Getafe,es La Liga,1999,12,8,794,8.8,0,0,0,0,6,1,0.2,0.2,0,0.3,1,20,1,0,374,40,184,178,13,219,291,5,0.57,0,0,14,7,2,10,24,40
312,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,83,99,0,0,63,92,0,0,0,0,0,0,0,0,0,2
313,Jan-Niklas Beste,de GER,FW,Freiburg,de Bundesliga,1999,4,0,72,0.8,0,1,1,0,0,0,0.6,0.6,0.3,0.9,3,3,8,1.25,39,1,8,17,15,18,25,2,2.5,1,0,0,0,0,1,1,2
314,Beto,gw GNB,FW,Everton,eng Premier League,1998,19,6,764,8.5,6,0,6,0,1,0,4.7,4.7,0.6,5.3,10,5,44,0,273,15,27,116,133,84,140,12,1.41,0,0,10,5,4,1,11,11
315,Sam Beukema,nl NED,DF,Bologna,it Serie A,1998,26,24,2202,24.5,0,1,1,0,0,0,1,1,0.9,1.9,24,117,6,0.04,1782,127,675,1009,105,1346,1564,25,1.02,5,0,37,21,24,21,58,82
316,Alessandro Bianco,it ITA,MF,Monza,it Serie A,2002,23,18,1698,18.9,1,0,1,0,6,0,1.1,1.1,0.6,1.7,29,87,17,0,1159,49,306,697,171,839,985,25,1.33,0,4,33,20,26,8,41,31
317,Alessandro Bianco,it ITA,MF,Fiorentina,it Serie A,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,2,11,1,9,12,0,0,0,0,0,0,0,0,0,0
318,Mika Biereth,dk DEN,FW,Monaco,fr Ligue 1,2003,7,7,557,6.2,10,1,11,1,0,0,7.6,6.8,1.6,8.4,4,12,57,0.16,183,3,8,64,111,73,110,18,2.91,3,0,2,2,6,2,4,5
319,Jaka Bijol,si SVN,DF,Udinese,it Serie A,1999,25,25,2250,25,1,0,1,0,7,0,2,2,0.4,2.4,16,62,4,0,1483,202,779,660,57,1002,1211,22,0.88,1,1,35,19,28,31,66,128
320,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,de Bundesliga,2001,9,3,314,3.5,2,1,3,0,0,0,1.6,1.6,1.1,2.7,4,5,21,0.29,112,1,4,39,71,58,77,10,2.87,1,0,3,1,1,0,3,1
321,Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,1996,10,1,184,2,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0,148,5,20,72,57,70,102,16,7.83,0,0,14,5,3,5,19,2
322,Philip Billing,dk DEN,MF,Napoli,it Serie A,1996,2,1,73,0.8,1,0,1,0,0,0,0.8,0.8,0.1,0.9,0,2,2,0,35,1,4,19,13,15,24,5,6.16,1,0,4,3,1,1,5,1
323,Cristiano Biraghi,it ITA,DF,Torino,it Serie A,1992,4,2,201,2.2,0,0,0,0,0,0,0,0,0.3,0.4,3,6,7,0,156,11,38,75,44,93,132,10,4.48,0,0,1,1,2,1,2,11
324,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,1992,8,5,433,4.8,1,0,1,0,1,0,0.2,0.2,0.3,0.5,3,15,17,0,335,28,120,150,65,259,309,8,1.66,0,0,4,4,2,4,8,11
325,Samuele Birindelli,it ITA,"DF,MF",Monza,it Serie A,1999,10,7,611,6.8,1,0,1,0,2,0,0.4,0.4,1,1.4,17,19,35,0,328,12,77,137,118,207,275,17,2.51,0,0,10,8,4,4,14,12
326,Tom Bischof,de GER,"MF,FW",Hoffenheim,de Bundesliga,2005,22,21,1786,19.8,4,2,6,0,3,0,1.4,1.4,3.1,4.5,38,102,85,0.1,1398,50,252,686,470,860,1101,91,4.59,6,1,81,44,46,23,104,33
327,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,1996,20,12,1055,11.7,2,0,2,0,5,0,0.5,0.5,0.2,0.7,15,66,3,0,803,53,221,456,132,587,658,13,1.11,0,3,37,24,7,13,50,30
328,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,1993,17,10,846,9.4,2,0,2,0,1,0,1.4,1.4,1.3,2.7,15,54,32,0,671,7,127,384,167,487,576,31,3.3,2,0,21,8,8,11,32,9
329,Emmanuel Biumla,fr FRA,DF,Angers,fr Ligue 1,2005,15,14,1228,13.6,1,0,1,0,1,0,0.7,0.7,0,0.8,3,14,0,0,587,107,366,210,15,393,446,4,0.29,0,1,19,12,15,8,27,76
330,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,1991,23,23,2070,23,0,0,0,0,2,0,0,0,0,0,0,1,0,0,835,732,831,4,0,531,781,2,0.09,0,0,1,1,0,0,1,19
331,Bjarki Bjarkason,is ISL,"DF,MF",Venezia,it Serie A,2000,8,1,137,1.5,0,0,0,0,2,0,0,0,0.1,0.1,6,9,11,0,94,3,29,36,29,65,75,1,0.66,0,0,3,2,1,2,5,4
332,Antonio Blanco,es ESP,MF,Alavés,es La Liga,2000,24,21,1772,19.7,0,1,1,0,6,0,0.7,0.7,1.4,2,5,102,13,0.05,1010,47,249,622,149,652,827,34,1.73,1,1,44,28,22,28,72,31
333,Ludovic Blas,fr FRA,"MF,FW",Rennes,fr Ligue 1,1997,23,22,1913,21.3,6,7,13,0,5,0,4.6,4.6,3.7,8.3,64,92,157,0.33,1062,9,101,463,513,582,784,89,4.19,14,0,31,19,16,10,41,9
334,Daley Blind,nl NED,DF,Girona,es La Liga,1990,22,19,1700,18.9,0,1,1,0,2,0,0.2,0.2,0.8,1,47,173,36,0.05,1849,106,597,1009,253,1514,1698,26,1.38,4,1,31,17,26,19,50,59
335,Myron Boadu,nl NED,FW,Bochum,de Bundesliga,2001,11,7,588,6.5,7,1,8,1,0,0,5.5,4.7,0.4,5.1,6,9,35,0.15,146,5,7,60,82,73,97,15,2.3,1,0,2,1,1,0,2,3
336,Augustine Boakye,gh GHA,"FW,MF",Saint-Étienne,fr Ligue 1,2000,17,8,733,8.1,3,0,3,0,5,0,1.8,1.8,0.9,2.7,25,35,60,0,349,6,32,130,191,192,256,35,4.3,1,0,7,3,5,6,13,4
337,Mathéo Bodmer,fr FRA,MF,Le Havre,fr Ligue 1,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0,1
338,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,2000,8,4,357,4,0,1,1,0,1,0,0.1,0.1,1,1,13,22,42,0.25,374,6,44,177,154,303,329,7,1.76,2,0,12,3,3,1,13,5
339,Jeremie Boga,ci CIV,"MF,FW",Nice,fr Ligue 1,1997,14,8,659,7.3,0,2,2,0,0,0,1.4,1.4,2.2,3.6,38,18,49,0.27,313,4,44,131,146,186,228,34,4.66,3,0,7,5,11,2,9,2
340,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,eng Premier League,2004,8,5,476,5.3,0,0,0,0,2,0,0,0,0.1,0.2,12,14,9,0,325,16,95,191,40,240,272,10,1.89,1,0,14,6,5,1,15,13
341,Emil Bohinen,no NOR,MF,Genoa,it Serie A,1999,3,1,166,1.8,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,5,2,0,109,12,30,52,28,69,86,5,2.69,0,0,4,4,2,1,5,6
342,Adama Boiro,es ESP,DF,Athletic Club,es La Liga,2002,11,9,686,7.6,0,0,0,0,1,0,0.2,0.2,0.2,0.3,11,23,15,0,398,20,95,202,102,253,320,10,1.31,0,1,13,5,6,8,21,24
343,Willy Boly,ci CIV,DF,Nott'ham Forest,eng Premier League,1991,5,1,134,1.5,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,0,0,86,20,58,26,2,48,61,0,0,0,0,5,1,3,3,8,12
344,Moïse Bombito,ca CAN,DF,Nice,fr Ligue 1,2000,19,17,1552,17.2,0,0,0,0,2,1,0.6,0.6,0,0.7,21,69,6,0,1190,164,573,595,30,909,1002,9,0.52,2,2,24,15,22,11,35,90
345,Warren Bondo,fr FRA,MF,Monza,it Serie A,2003,20,19,1618,18,0,0,0,0,5,1,0.4,0.4,0.3,0.7,25,39,21,0,741,27,179,440,140,547,615,26,1.45,1,4,35,24,16,5,40,8
346,Victor Boniface,ng NGA,FW,Leverkusen,de Bundesliga,2000,14,10,800,8.9,7,1,8,0,2,0,6.9,6.1,1,7.1,17,18,43,0.11,296,4,16,118,164,122,170,29,3.27,3,0,4,3,1,0,4,4
347,Kevin Bonifazi,it ITA,DF,Lecce,it Serie A,1996,3,0,65,0.7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,54,6,28,27,0,37,42,0,0,0,0,1,1,1,2,3,3
348,Ange-Yoan Bonny,fr FRA,FW,Parma,it Serie A,2003,26,20,1753,19.5,5,2,7,2,2,0,7.4,5,1.7,6.7,30,40,127,0.1,638,7,42,275,334,311,415,48,2.46,5,0,20,10,11,1,21,10
349,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,1999,13,7,697,7.7,2,1,3,0,2,0,1.2,1.2,0.5,1.7,2,15,1,0.13,356,44,137,202,19,215,269,4,0.52,1,0,7,4,14,10,17,30
350,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,2000,3,3,224,2.5,0,0,0,0,1,0,0,0,0,0,0,3,0,0,156,24,63,89,5,113,128,0,0,0,0,5,3,2,4,9,12
351,Saïmon Bouabré,fr FRA,"MF,FW",Monaco,fr Ligue 1,2006,2,1,72,0.8,0,0,0,0,0,0,0,0,0,0,3,2,3,0,26,2,4,15,7,14,21,1,1.25,1,0,0,0,1,0,0,0
352,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,2007,19,9,933,10.4,0,1,1,0,1,0,0,0,1,1,10,30,15,0.1,554,25,134,303,121,386,435,11,1.06,2,1,47,29,10,9,56,9
353,Badredine Bouanani,dz ALG,"MF,FW",Nice,fr Ligue 1,2004,18,6,674,7.5,2,0,2,0,2,0,1.3,1.3,1,2.3,31,30,53,0,367,3,33,147,192,210,274,27,3.6,4,0,6,3,12,6,12,4
354,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,fr Ligue 1,2001,19,15,1308,14.5,1,0,1,0,3,0,0.6,0.6,0.7,1.3,27,96,40,0,937,14,175,482,292,687,791,39,2.68,2,2,25,20,16,16,41,10
355,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,1999,19,18,1635,18.2,2,1,3,0,7,0,2,2,1,3,37,93,42,0.06,1031,48,231,598,225,666,791,41,2.26,4,0,51,30,28,18,69,35
356,Carlo Boukhalfa,ma MAR,MF,St. Pauli,de Bundesliga,1999,18,14,1207,13.4,1,0,1,0,0,0,0.8,0.8,0.4,1.3,9,30,30,0,487,20,89,236,165,236,343,26,1.94,2,1,19,6,17,11,30,18
357,Justin Bourgault,fr FRA,DF,Brest,fr Ligue 1,2005,1,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,2,3,11,0,59,2,10,31,18,40,54,2,2.37,1,0,1,0,0,0,1,1
358,Benjamin Bourigeaud,fr FRA,MF,Rennes,fr Ligue 1,1994,1,1,80,0.9,1,0,1,0,0,0,0.2,0.2,0,0.2,0,4,4,0,57,3,9,24,25,36,48,2,2.25,0,0,1,0,2,2,3,1
359,Edoardo Bove,it ITA,"MF,FW",Fiorentina,it Serie A,2002,12,11,851,9.5,1,2,3,0,3,0,0.6,0.6,1.5,2.1,12,37,24,0.21,437,12,80,244,117,282,344,31,3.27,7,0,24,17,12,6,30,8
360,Jarrod Bowen,eng ENG,"FW,MF",West Ham,eng Premier League,1996,23,23,2006,22.3,7,4,11,1,1,0,5.9,5.1,4.8,9.9,76,74,134,0.18,869,20,103,315,470,398,565,90,4.04,10,0,32,20,15,13,45,19
361,Enzo Boyomo,cm CMR,DF,Osasuna,es La Liga,2001,22,22,1952,21.7,2,0,2,0,5,0,1.3,1.3,0.8,2.1,10,74,3,0,1134,138,564,545,37,797,924,8,0.37,0,2,44,31,26,26,70,81
362,Enzo Boyomo,cm CMR,DF,Valladolid,es La Liga,2001,3,3,270,3,0,0,0,0,0,0,0.1,0.1,0,0.1,1,7,0,0,215,23,131,79,6,174,190,1,0.33,0,0,6,2,4,1,7,7
363,Domagoj Bradarić,hr CRO,DF,Hellas Verona,it Serie A,1999,18,14,1120,12.4,0,0,0,0,5,0,0.1,0.1,1.6,1.7,18,22,42,0,583,30,165,259,172,331,451,31,2.49,1,1,22,15,12,8,30,35
364,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,2003,12,2,372,4.1,0,0,0,0,2,0,0.5,0.5,0,0.5,17,17,18,0,343,15,105,147,96,239,284,9,2.18,1,0,6,3,2,3,9,16
365,Bilal Brahimi,dz ALG,MF,Nice,fr Ligue 1,2000,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0.1,3,4,10,0,49,2,7,23,19,35,40,1,1.18,0,0,0,0,1,0,0,2
366,Julian Brandt,de GER,MF,Dortmund,de Bundesliga,1996,20,19,1542,17.1,3,5,8,0,1,0,3.6,3.6,5,8.6,43,98,133,0.29,975,6,89,462,435,645,814,71,4.14,6,1,14,7,13,9,23,7
367,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,2002,20,18,1628,18.1,0,1,1,0,3,0,0.6,0.6,0.6,1.2,7,40,1,0.06,959,133,513,409,41,606,742,12,0.66,2,2,27,16,22,22,49,123
368,Darko Brašanac,rs SRB,MF,Leganés,es La Liga,1992,22,13,1305,14.5,1,2,3,0,2,0,1.7,1.7,0.2,1.9,6,35,41,0.14,537,43,138,246,153,301,400,23,1.59,2,0,23,10,17,13,36,31
369,Lilian Brassier,fr FRA,DF,Marseille,fr Ligue 1,1999,12,9,779,8.7,0,0,0,0,3,0,0.2,0.2,0,0.3,11,40,8,0,732,59,303,382,48,560,653,3,0.35,0,2,8,6,8,9,17,28
370,Lilian Brassier,fr FRA,DF,Rennes,fr Ligue 1,1999,5,5,425,4.7,0,0,0,0,0,0,0.5,0.5,0,0.5,13,26,5,0,353,28,153,162,42,248,298,8,1.69,0,0,2,2,6,10,12,25
371,Matthias Braunöder,at AUT,MF,Como,it Serie A,2002,8,3,268,3,0,0,0,0,3,1,0.1,0.1,0,0.1,2,18,0,0,175,4,43,108,25,128,146,4,1.34,0,1,10,4,3,2,12,4
372,Iker Bravo,es ESP,"FW,MF",Udinese,it Serie A,2005,20,2,382,4.2,2,1,3,0,2,0,0.7,0.7,0.4,1.1,2,13,22,0.24,178,3,21,76,84,93,119,11,2.59,0,0,8,5,1,0,8,4
373,James Bree,eng ENG,DF,Southampton,eng Premier League,1997,14,11,890,9.9,0,1,1,0,0,0,0.1,0.1,0.9,1,9,30,34,0.1,598,42,194,261,148,437,521,15,1.52,1,0,15,10,8,8,23,24
374,Tim Breithaupt,de GER,MF,Augsburg,de Bundesliga,2002,2,2,120,1.3,0,1,1,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0.75,75,2,18,49,8,58,67,3,2.25,2,0,1,1,1,2,3,0
375,Gleison Bremer,br BRA,DF,Juventus,it Serie A,1997,6,6,540,6,0,0,0,0,2,0,0.1,0.1,0,0.1,2,21,0,0,569,63,286,268,15,468,504,3,0.5,0,0,15,7,15,6,21,16
376,Brenner,br BRA,"MF,FW",Udinese,it Serie A,2000,9,5,386,4.3,1,2,3,0,0,0,0.6,0.6,0.5,1.1,5,7,16,0.47,151,5,28,74,53,87,114,11,2.56,1,0,6,4,4,1,7,6
377,Ben Brereton,cl CHI,FW,Southampton,eng Premier League,1999,10,4,449,5,0,0,0,0,1,0,0.9,0.9,0.1,1,12,9,42,0,206,4,19,76,112,128,166,9,1.8,0,0,3,2,2,0,3,4
378,Marco Brescianini,it ITA,MF,Atalanta,it Serie A,2000,20,7,748,8.3,3,2,5,0,1,0,2.7,2.7,0.9,3.7,39,25,56,0.24,398,3,34,185,184,248,312,18,2.17,4,0,11,6,11,2,13,4
379,Maximilian Breunig,de GER,"FW,MF",Heidenheim,de Bundesliga,2000,13,2,350,3.9,2,0,2,1,0,0,3.4,2.7,0.2,2.9,5,7,13,0,140,5,17,77,51,47,81,8,2.06,0,0,4,3,9,1,5,3
380,Anthony Briançon,fr FRA,DF,Saint-Étienne,fr Ligue 1,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,Nathan Broadhead,wls WAL,"FW,MF",Ipswich Town,eng Premier League,1998,11,4,428,4.8,0,0,0,0,1,0,1.1,1.1,0.5,1.6,14,10,19,0,199,6,28,94,85,113,145,12,2.53,1,0,4,2,2,3,7,5
382,Armando Broja,al ALB,FW,Everton,eng Premier League,2001,5,2,159,1.8,0,0,0,0,1,0,0.1,0.1,0.1,0.2,8,2,15,0,65,3,9,19,41,27,34,4,2.26,0,0,2,1,3,0,2,3
383,David Brooks,wls WAL,FW,Bournemouth,eng Premier League,1997,20,8,714,7.9,2,0,2,0,3,0,1.7,1.7,1.6,3.3,24,18,65,0,359,10,44,129,194,184,259,27,3.4,1,1,10,3,13,4,14,7
384,Arvid Brorsson,se SWE,DF,Monza,it Serie A,1999,2,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,81,16,53,28,0,53,61,0,0,0,1,2,2,4,0,2,13
385,Moritz Broschinski,de GER,"FW,MF",Bochum,de Bundesliga,2000,24,14,1220,13.6,1,3,4,0,1,0,3.6,3.6,1.6,5.2,29,17,111,0.22,469,18,47,195,236,160,250,30,2.22,4,0,18,14,15,1,19,17
386,Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,2003,16,13,1113,12.4,3,4,7,0,1,0,2.1,2.1,1.9,4,29,43,81,0.32,726,28,190,295,250,440,560,35,2.83,7,0,42,30,16,9,51,37
387,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,de Bundesliga,1998,12,3,400,4.4,2,2,4,0,0,0,2.3,2.3,0.6,2.9,16,16,41,0.45,226,3,17,82,133,121,163,19,4.29,4,0,4,3,5,1,5,2
388,Jacob Bruun Larsen,dk DEN,MF,Stuttgart,de Bundesliga,1998,7,3,299,3.3,1,0,1,0,1,0,0.3,0.3,1.1,1.4,17,14,32,0,154,1,14,61,79,84,117,11,3.3,0,1,1,1,4,1,2,3
389,Tajon Buchanan,ca CAN,"DF,FW",Inter,it Serie A,1999,6,0,95,1.1,0,0,0,0,0,0,0,0,0.1,0.1,6,2,8,0,64,3,18,29,19,40,48,3,2.84,0,0,3,0,0,0,3,3
390,Tajon Buchanan,ca CAN,"MF,FW",Villarreal,es La Liga,1999,3,0,51,0.6,0,0,0,0,0,0,0,0,0,0,4,0,4,0,32,2,16,8,8,7,16,1,1.73,0,0,5,2,1,1,6,1
391,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,1991,26,23,1986,22.1,14,2,16,6,3,0,11.1,6.6,1.4,8,17,19,92,0.09,545,16,29,236,285,164,301,34,1.54,10,0,15,7,16,1,16,13
392,Emi Buendía,ar ARG,"MF,FW",Aston Villa,eng Premier League,1996,12,0,98,1.1,0,0,0,0,1,0,0.7,0.7,0,0.7,3,7,6,0,82,0,17,35,31,49,60,3,2.76,0,0,6,6,5,0,6,2
393,Emi Buendía,ar ARG,"MF,FW",Leverkusen,de Bundesliga,1996,4,0,70,0.8,0,0,0,0,0,0,0.2,0.2,0.7,0.9,1,7,9,0,65,0,6,35,24,42,56,7,8.87,1,0,1,1,1,0,1,0
394,Manu Bueno,es ESP,MF,Sevilla,es La Liga,2004,6,1,104,1.2,1,0,1,0,0,0,0.1,0.1,0,0.1,2,3,4,0,65,2,11,33,21,43,48,1,0.87,0,0,4,3,0,0,4,2
395,Santiago Bueno,uy URU,DF,Wolves,eng Premier League,1998,20,17,1512,16.8,0,0,0,0,2,0,0.4,0.4,0,0.4,1,27,1,0,931,149,471,445,18,688,781,11,0.65,4,0,32,16,32,14,46,54
396,Endika Buján,es ESP,FW,Athletic Club,es La Liga,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,7,4,5,0,0,0,0,0,0,0,0,0,0
397,Marius Bülter,de GER,"FW,DF",Hoffenheim,de Bundesliga,1993,16,15,1103,12.3,4,1,5,0,3,0,2.9,2.9,2.3,5.2,38,23,108,0.08,436,10,35,175,234,218,322,36,2.94,5,0,7,7,4,1,8,5
398,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,eng Premier League,2004,23,13,1278,14.2,4,2,6,0,7,0,3.4,3.4,2.8,6.2,37,46,60,0.14,726,21,107,370,262,367,485,45,3.17,4,0,44,24,30,10,54,10
399,Alessandro Buongiorno,it ITA,DF,Napoli,it Serie A,1999,18,18,1591,17.7,1,0,1,0,1,0,0.8,0.8,0.6,1.4,17,72,5,0,1245,103,546,661,46,982,1082,15,0.85,0,2,32,19,24,28,60,54
400,Cameron Burgess,au AUS,DF,Ipswich Town,eng Premier League,1995,10,10,900,10,0,1,1,0,0,0,0.7,0.7,0.3,1,2,27,3,0.1,618,136,360,222,36,397,496,6,0.6,2,1,9,7,14,9,18,67
401,Jonathan Burkardt,de GER,FW,Mainz 05,de Bundesliga,2000,20,19,1354,15,14,2,16,1,0,0,10,9.2,2.6,11.8,18,27,105,0.13,518,15,37,244,238,246,345,31,2.06,5,0,9,6,7,0,9,12
402,Oliver Burke,sct SCO,"FW,MF",Werder Bremen,de Bundesliga,1997,16,1,275,3.1,2,0,2,0,3,0,1.7,1.7,0.4,2.1,5,7,30,0,158,2,16,59,88,58,103,15,4.91,1,0,7,3,5,2,9,2
403,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,1992,26,26,2340,26,0,0,0,0,7,0,1.1,1.1,0.3,1.4,6,42,6,0,1628,283,937,619,74,1240,1376,14,0.54,3,3,30,16,24,16,46,129
404,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,it Serie A,2004,2,0,19,0.2,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,4,0,11,0,0,5,6,4,6,0,0,0,0,0,0,0,0,0,0
405,Wes Burns,wls WAL,"FW,DF",Ipswich Town,eng Premier League,1994,18,12,926,10.3,0,1,1,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.1,350,21,69,129,160,153,253,16,1.55,1,2,13,11,7,10,23,13
406,Marnon Busch,de GER,DF,Heidenheim,de Bundesliga,1994,14,7,771,8.6,0,1,1,0,0,0,0.2,0.2,0.9,1.1,13,37,28,0.12,653,41,238,305,112,395,536,21,2.45,1,3,13,9,15,8,21,39
407,Gianluca Busio,us USA,MF,Venezia,it Serie A,2002,24,20,1838,20.4,1,0,1,0,3,0,1.6,1.6,0.9,2.5,47,70,106,0,920,43,163,457,314,511,677,45,2.2,2,0,36,24,24,11,47,36
408,Aurélio Buta,pt POR,DF,Reims,fr Ligue 1,1997,20,18,1489,16.5,0,1,1,0,5,0,0.2,0.2,0.4,0.6,19,72,50,0.06,959,53,270,450,247,668,801,26,1.57,4,0,33,21,11,17,50,43
409,Jean Butez,fr FRA,GK,Como,it Serie A,1995,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,325,392,6,0,297,379,2,0.22,0,1,0,0,0,0,0,7
410,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,1999,24,24,2160,24,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,882,703,878,3,1,654,821,2,0.08,1,6,0,0,0,0,0,11
411,Pau Cabanes,es ESP,"MF,FW",Villarreal,es La Liga,2005,10,0,163,1.8,1,0,1,0,0,0,0.5,0.5,0.4,0.9,10,11,33,0,122,2,17,35,71,60,84,12,6.63,2,1,4,4,5,3,7,2
412,Pau Cabanes,es ESP,MF,Alavés,es La Liga,2005,2,0,73,0.8,0,0,0,0,0,0,0,0,0,0,8,2,7,0,55,0,8,19,29,29,41,1,1.23,0,0,1,0,0,0,1,0
413,Rémy Cabella,fr FRA,"FW,MF",Lille,fr Ligue 1,1990,19,10,802,8.9,0,2,2,0,1,0,2.6,2.6,1.9,4.5,34,51,102,0.22,678,6,60,275,356,462,565,45,5.04,6,0,31,15,9,8,39,3
414,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,1991,21,20,1800,20,2,1,3,0,3,0,0.6,0.6,0.4,1,6,48,3,0.05,1138,187,643,458,43,663,915,15,0.75,4,1,30,15,22,23,53,119
